Date,Revenue,SEM,SEMCard,SEMPBook,SEMOther,SEMBrand,Display,FB,Affiliate,Partners,TV,TVImpression,DM,SEM_LTA,Display_LTA,FB_LTA,Affiliates_LTA,Partners_LTA,SEM_MTA,Display_MTA,FB_MTA,Affiliates_MTA,Partners_MTA
5/15/2013,889079.35,33501.78754,18523.26417,6525.774053,3523.943694,4928.80563,13157.97942,1775.407005,3217,18265,0,0,129677.9675,155223.25,73368.89,2728.85,32255.03,71006.4,124464.21,48261.66693,1795.023065,16319.72,83042.49
5/16/2013,709205.45,31344.60561,17972.99828,5906.306596,3034.516332,4430.784398,12112.05408,2798.106258,2505,16778,0,0,129677.9675,121684.98,62759.11,2071.64,21415.45,61069.41,96265.95,38370.84188,1266.598122,11378.93,70494.8
5/17/2013,593622.49,23919.93369,13269.86675,3949.772454,2855.693724,3844.600758,9800.678381,2798.106258,1921,13991,0,0,129677.9675,105044.63,57288.26,1719.94,16995.68,54856.66,83011.57,34289.69569,1029.464313,10404.31,61389.09
5/18/2013,537764.29,20765.22982,10695.39689,4272.612193,2519.045367,3278.175376,9787.952293,2875.923751,1516,12795,0,0,129677.9675,101535.18,49659.48,1965.35,16527.1,49711.11,76736.88,31104.22273,1230.997267,8869.72,55938.41
5/19/2013,809925.52,28957.69892,14698.78918,6411.672619,3498.928119,4348.309001,13612.14168,2875.923751,2021,17107,0,0,129677.9675,156362.56,70552.07,2874.48,27608.8,71429.24,121930.26,48416.37731,1972.612685,14379.54,80907.57
5/20/2013,961282.32,30462.90606,17006.42049,4214.533072,4407.68931,4834.263186,13175.47779,3087.547216,2409,19499,48189.05,6427800,129677.9675,159339.61,79643.72,3857.39,32126.06,84216.2,132080.59,50106.52699,2426.813013,16268.22,100254.39
5/21/2013,942746.43,28962.69363,16247.72036,3551.865665,4630.530116,4532.577487,13612.14168,3087.547216,3400,19838,37850.5,4177400,129677.9675,161866.57,80262.39,4916.28,32400.17,81878.02,123839.9,46159.39696,2827.383038,18046.08,105626.87
5/22/2013,1296436.93,29106.00728,16093.14711,3935.984634,4505.368921,4571.506614,15442.31219,2718.027199,4190,21683,37024.3,4510570,129677.9675,191032.52,84651.65,3879.26,41150.23,97410.74,148373.25,56440.50828,2586.451725,20206.35,135338.63
5/23/2013,728905.99,22589.45712,9717.86478,4160.242157,4360.187117,4351.163064,13741.7887,2718.027199,3346,19179,26882.1,3421800,129677.9675,117406.68,65741.38,2436.93,26018.82,73424.54,93495.66,39318.79389,1457.486113,12648.85,90147.58
5/24/2013,652547.72,17353.27876,5938.635641,3858.33621,3850.865062,3705.441844,13274.10497,2127.021328,2203,20158,36448,3967040,129677.9675,105178.8,62786.06,2846.99,22658.09,73575.35,82455.12,43101.07202,1954.387981,11284.45,91837.1
